structure,operation,n,temps
statique,insertion,10,0.000000
statique,recherche,10,0.000000
statique,tri_insertion,10,0.000600
statique,tri_rapide,10,0.014500
statique,insertion,50,0.000200
statique,recherche,50,0.000000
statique,tri_insertion,50,0.000600
statique,tri_rapide,50,0.032400
statique,insertion,100,0.000200
statique,recherche,100,0.000000
statique,tri_insertion,100,0.000000
statique,tri_rapide,100,0.025400
dynamique,insertion,100,0.000000
dynamique,tri_rapide,100,0.000000
dynamique,insertion,1000,0.000900
dynamique,tri_rapide,1000,0.000000
dynamique,insertion,10000,0.010400
dynamique,tri_rapide,10000,0.028100
